health_region,type_of_expenditure,activity,contents,year,value,type_of_service,occupation
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Purchases and rental of medical equipment,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Purchases and rental of medical equipment,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Purchases and rental of medical equipment,Lab/roentgen,Current prices (NOK million),2005,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Purchases and rental of medical equipment,Lab/roentgen,Current prices (NOK million),2020,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Purchases and rental of medical equipment,Lab/roentgen,Current prices (NOK million),2021,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Purchases and rental of medical equipment,Lab/roentgen,Change from previous year (per cent),2005,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Purchases and rental of medical equipment,Lab/roentgen,Change from previous year (per cent),2020,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Purchases and rental of medical equipment,Lab/roentgen,Change from previous year (per cent),2021,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Purchases and rental of medical equipment,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Purchases and rental of medical equipment,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Purchases and rental of medical equipment,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Other expenditures,Sum all functions,Current prices (NOK million),2005,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Other expenditures,Sum all functions,Current prices (NOK million),2020,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Other expenditures,Sum all functions,Current prices (NOK million),2021,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Other expenditures,Sum all functions,Change from previous year (per cent),2005,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Other expenditures,Sum all functions,Change from previous year (per cent),2020,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Other expenditures,Sum all functions,Change from previous year (per cent),2021,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Other expenditures,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Other expenditures,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Other expenditures,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Other expenditures,Drug treatment (TSB),Current prices (NOK million),2005,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Other expenditures,Drug treatment (TSB),Current prices (NOK million),2020,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Other expenditures,Drug treatment (TSB),Current prices (NOK million),2021,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Other expenditures,Drug treatment (TSB),Change from previous year (per cent),2005,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Other expenditures,Drug treatment (TSB),Change from previous year (per cent),2020,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Other expenditures,Drug treatment (TSB),Change from previous year (per cent),2021,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Other expenditures,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Other expenditures,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Other expenditures,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Other expenditures,Lab/roentgen,Current prices (NOK million),2005,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Other expenditures,Lab/roentgen,Current prices (NOK million),2020,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Other expenditures,Lab/roentgen,Current prices (NOK million),2021,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Other expenditures,Lab/roentgen,Change from previous year (per cent),2005,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Other expenditures,Lab/roentgen,Change from previous year (per cent),2020,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Other expenditures,Lab/roentgen,Change from previous year (per cent),2021,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Other expenditures,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Other expenditures,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Frelsesarmeens Behandlingssenter Stavanger (Helseregion Vest),Other expenditures,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2005,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2020,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2021,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2005,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2020,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2021,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2005,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2020,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2021,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2005,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2020,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2021,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Expenses (incl. depreciation),Lab/roentgen,Current prices (NOK million),2005,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Expenses (incl. depreciation),Lab/roentgen,Current prices (NOK million),2020,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Expenses (incl. depreciation),Lab/roentgen,Current prices (NOK million),2021,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Expenses (incl. depreciation),Lab/roentgen,Change from previous year (per cent),2005,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Expenses (incl. depreciation),Lab/roentgen,Change from previous year (per cent),2020,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Expenses (incl. depreciation),Lab/roentgen,Change from previous year (per cent),2021,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Expenses (incl. depreciation),Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Expenses (incl. depreciation),Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Expenses (incl. depreciation),Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Purchases and rental of medical equipment,Sum all functions,Current prices (NOK million),2005,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Purchases and rental of medical equipment,Sum all functions,Current prices (NOK million),2020,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Purchases and rental of medical equipment,Sum all functions,Current prices (NOK million),2021,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Purchases and rental of medical equipment,Sum all functions,Change from previous year (per cent),2005,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Purchases and rental of medical equipment,Sum all functions,Change from previous year (per cent),2020,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Purchases and rental of medical equipment,Sum all functions,Change from previous year (per cent),2021,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Purchases and rental of medical equipment,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Purchases and rental of medical equipment,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Purchases and rental of medical equipment,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Purchases and rental of medical equipment,Drug treatment (TSB),Current prices (NOK million),2005,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Purchases and rental of medical equipment,Drug treatment (TSB),Current prices (NOK million),2020,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Purchases and rental of medical equipment,Drug treatment (TSB),Current prices (NOK million),2021,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Purchases and rental of medical equipment,Drug treatment (TSB),Change from previous year (per cent),2005,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Purchases and rental of medical equipment,Drug treatment (TSB),Change from previous year (per cent),2020,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Purchases and rental of medical equipment,Drug treatment (TSB),Change from previous year (per cent),2021,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Purchases and rental of medical equipment,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Purchases and rental of medical equipment,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Purchases and rental of medical equipment,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Purchases and rental of medical equipment,Lab/roentgen,Current prices (NOK million),2005,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Purchases and rental of medical equipment,Lab/roentgen,Current prices (NOK million),2020,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Purchases and rental of medical equipment,Lab/roentgen,Current prices (NOK million),2021,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Purchases and rental of medical equipment,Lab/roentgen,Change from previous year (per cent),2005,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Purchases and rental of medical equipment,Lab/roentgen,Change from previous year (per cent),2020,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Purchases and rental of medical equipment,Lab/roentgen,Change from previous year (per cent),2021,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Purchases and rental of medical equipment,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Purchases and rental of medical equipment,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Purchases and rental of medical equipment,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Other expenditures,Sum all functions,Current prices (NOK million),2005,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Other expenditures,Sum all functions,Current prices (NOK million),2020,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Other expenditures,Sum all functions,Current prices (NOK million),2021,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Other expenditures,Sum all functions,Change from previous year (per cent),2005,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Other expenditures,Sum all functions,Change from previous year (per cent),2020,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Other expenditures,Sum all functions,Change from previous year (per cent),2021,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Other expenditures,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Other expenditures,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Other expenditures,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Other expenditures,Drug treatment (TSB),Current prices (NOK million),2005,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Other expenditures,Drug treatment (TSB),Current prices (NOK million),2020,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Other expenditures,Drug treatment (TSB),Current prices (NOK million),2021,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Other expenditures,Drug treatment (TSB),Change from previous year (per cent),2005,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Other expenditures,Drug treatment (TSB),Change from previous year (per cent),2020,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Other expenditures,Drug treatment (TSB),Change from previous year (per cent),2021,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Other expenditures,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Other expenditures,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Other expenditures,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Other expenditures,Lab/roentgen,Current prices (NOK million),2005,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Other expenditures,Lab/roentgen,Current prices (NOK million),2020,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Other expenditures,Lab/roentgen,Current prices (NOK million),2021,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Other expenditures,Lab/roentgen,Change from previous year (per cent),2005,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Other expenditures,Lab/roentgen,Change from previous year (per cent),2020,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Other expenditures,Lab/roentgen,Change from previous year (per cent),2021,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Other expenditures,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Other expenditures,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Kalfaret Behandlingssenter (Helseregion Vest),Other expenditures,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2005,76,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2020,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Expenses (incl. depreciation),Sum all functions,Current prices (NOK million),2021,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2005,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2020,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Expenses (incl. depreciation),Sum all functions,Change from previous year (per cent),2021,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Expenses (incl. depreciation),Sum all functions,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2005,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2020,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Expenses (incl. depreciation),Drug treatment (TSB),Current prices (NOK million),2021,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2005,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2020,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Expenses (incl. depreciation),Drug treatment (TSB),Change from previous year (per cent),2021,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Expenses (incl. depreciation),Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Expenses (incl. depreciation),Lab/roentgen,Current prices (NOK million),2005,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Expenses (incl. depreciation),Lab/roentgen,Current prices (NOK million),2020,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Expenses (incl. depreciation),Lab/roentgen,Current prices (NOK million),2021,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Expenses (incl. depreciation),Lab/roentgen,Change from previous year (per cent),2005,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Expenses (incl. depreciation),Lab/roentgen,Change from previous year (per cent),2020,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Expenses (incl. depreciation),Lab/roentgen,Change from previous year (per cent),2021,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Expenses (incl. depreciation),Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Expenses (incl. depreciation),Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Expenses (incl. depreciation),Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Purchases and rental of medical equipment,Sum all functions,Current prices (NOK million),2005,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Purchases and rental of medical equipment,Sum all functions,Current prices (NOK million),2020,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Purchases and rental of medical equipment,Sum all functions,Current prices (NOK million),2021,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Purchases and rental of medical equipment,Sum all functions,Change from previous year (per cent),2005,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Purchases and rental of medical equipment,Sum all functions,Change from previous year (per cent),2020,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Purchases and rental of medical equipment,Sum all functions,Change from previous year (per cent),2021,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Purchases and rental of medical equipment,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Purchases and rental of medical equipment,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Purchases and rental of medical equipment,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Purchases and rental of medical equipment,Drug treatment (TSB),Current prices (NOK million),2005,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Purchases and rental of medical equipment,Drug treatment (TSB),Current prices (NOK million),2020,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Purchases and rental of medical equipment,Drug treatment (TSB),Current prices (NOK million),2021,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Purchases and rental of medical equipment,Drug treatment (TSB),Change from previous year (per cent),2005,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Purchases and rental of medical equipment,Drug treatment (TSB),Change from previous year (per cent),2020,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Purchases and rental of medical equipment,Drug treatment (TSB),Change from previous year (per cent),2021,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Purchases and rental of medical equipment,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Purchases and rental of medical equipment,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Purchases and rental of medical equipment,Drug treatment (TSB),Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Purchases and rental of medical equipment,Lab/roentgen,Current prices (NOK million),2005,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Purchases and rental of medical equipment,Lab/roentgen,Current prices (NOK million),2020,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Purchases and rental of medical equipment,Lab/roentgen,Current prices (NOK million),2021,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Purchases and rental of medical equipment,Lab/roentgen,Change from previous year (per cent),2005,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Purchases and rental of medical equipment,Lab/roentgen,Change from previous year (per cent),2020,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Purchases and rental of medical equipment,Lab/roentgen,Change from previous year (per cent),2021,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Purchases and rental of medical equipment,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Purchases and rental of medical equipment,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Purchases and rental of medical equipment,Lab/roentgen,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Other expenditures,Sum all functions,Current prices (NOK million),2005,10,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Other expenditures,Sum all functions,Current prices (NOK million),2020,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Other expenditures,Sum all functions,Current prices (NOK million),2021,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Other expenditures,Sum all functions,Change from previous year (per cent),2005,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Other expenditures,Sum all functions,Change from previous year (per cent),2020,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Other expenditures,Sum all functions,Change from previous year (per cent),2021,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Other expenditures,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2005,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Other expenditures,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2020,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Other expenditures,Sum all functions,Expenses (NOK million per 10 000 inhabitants),2021,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Other expenditures,Drug treatment (TSB),Current prices (NOK million),2005,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Other expenditures,Drug treatment (TSB),Current prices (NOK million),2020,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Other expenditures,Drug treatment (TSB),Current prices (NOK million),2021,NA,NA,NA
Haugesund Sanitetsforenings Revmatismesykehus (Helseregion Vest),Other expenditures,Drug treatment (TSB),Change from previous year (per cent),2005,NA,NA,NA
