health region,type of service,contents,year,value
Helgelandssykehuset HF,Drug treatment (TSB),Beds,2020,8
Helgelandssykehuset HF,Drug treatment (TSB),Beds,2021,8
Helgelandssykehuset HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2002,0
Helgelandssykehuset HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2020,NA
Helgelandssykehuset HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2021,NA
Helgelandssykehuset HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2002,0
Helgelandssykehuset HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2020,NA
Helgelandssykehuset HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2021,NA
Finnmarkssykehuset HF,Total,Beds,2002,288
Finnmarkssykehuset HF,Total,Beds,2020,182
Finnmarkssykehuset HF,Total,Beds,2021,200
Finnmarkssykehuset HF,Total,Out-patient consultations per 1 000 inhabitants,2002,NA
Finnmarkssykehuset HF,Total,Out-patient consultations per 1 000 inhabitants,2020,NA
Finnmarkssykehuset HF,Total,Out-patient consultations per 1 000 inhabitants,2021,NA
Finnmarkssykehuset HF,Total,Day cases per 1 000 inhabitants,2002,NA
Finnmarkssykehuset HF,Total,Day cases per 1 000 inhabitants,2020,NA
Finnmarkssykehuset HF,Total,Day cases per 1 000 inhabitants,2021,NA
Finnmarkssykehuset HF,Somatic health care,Beds,2002,218
Finnmarkssykehuset HF,Somatic health care,Beds,2020,136
Finnmarkssykehuset HF,Somatic health care,Beds,2021,153
Finnmarkssykehuset HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,NA
Finnmarkssykehuset HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,NA
Finnmarkssykehuset HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,NA
Finnmarkssykehuset HF,Somatic health care,Day cases per 1 000 inhabitants,2002,NA
Finnmarkssykehuset HF,Somatic health care,Day cases per 1 000 inhabitants,2020,NA
Finnmarkssykehuset HF,Somatic health care,Day cases per 1 000 inhabitants,2021,NA
Finnmarkssykehuset HF,Drug treatment (TSB),Beds,2002,0
Finnmarkssykehuset HF,Drug treatment (TSB),Beds,2020,12
Finnmarkssykehuset HF,Drug treatment (TSB),Beds,2021,12
Finnmarkssykehuset HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2002,0
Finnmarkssykehuset HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2020,NA
Finnmarkssykehuset HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2021,NA
Finnmarkssykehuset HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2002,0
Finnmarkssykehuset HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2020,NA
Finnmarkssykehuset HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2021,NA
Universitetssykehuset Nord-Norge HF,Total,Beds,2002,664
Universitetssykehuset Nord-Norge HF,Total,Beds,2020,825
Universitetssykehuset Nord-Norge HF,Total,Beds,2021,819
Universitetssykehuset Nord-Norge HF,Total,Out-patient consultations per 1 000 inhabitants,2002,NA
Universitetssykehuset Nord-Norge HF,Total,Out-patient consultations per 1 000 inhabitants,2020,NA
Universitetssykehuset Nord-Norge HF,Total,Out-patient consultations per 1 000 inhabitants,2021,NA
Universitetssykehuset Nord-Norge HF,Total,Day cases per 1 000 inhabitants,2002,NA
Universitetssykehuset Nord-Norge HF,Total,Day cases per 1 000 inhabitants,2020,NA
Universitetssykehuset Nord-Norge HF,Total,Day cases per 1 000 inhabitants,2021,NA
Universitetssykehuset Nord-Norge HF,Somatic health care,Beds,2002,502
Universitetssykehuset Nord-Norge HF,Somatic health care,Beds,2020,591
Universitetssykehuset Nord-Norge HF,Somatic health care,Beds,2021,589
Universitetssykehuset Nord-Norge HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,NA
Universitetssykehuset Nord-Norge HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,NA
Universitetssykehuset Nord-Norge HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,NA
Universitetssykehuset Nord-Norge HF,Somatic health care,Day cases per 1 000 inhabitants,2002,NA
Universitetssykehuset Nord-Norge HF,Somatic health care,Day cases per 1 000 inhabitants,2020,NA
Universitetssykehuset Nord-Norge HF,Somatic health care,Day cases per 1 000 inhabitants,2021,NA
Universitetssykehuset Nord-Norge HF,Drug treatment (TSB),Beds,2002,0
Universitetssykehuset Nord-Norge HF,Drug treatment (TSB),Beds,2020,67
Universitetssykehuset Nord-Norge HF,Drug treatment (TSB),Beds,2021,67
Universitetssykehuset Nord-Norge HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2002,0
Universitetssykehuset Nord-Norge HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2020,NA
Universitetssykehuset Nord-Norge HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2021,NA
Universitetssykehuset Nord-Norge HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2002,0
Universitetssykehuset Nord-Norge HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2020,NA
Universitetssykehuset Nord-Norge HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2021,NA
Sykehuset Telemark HF,Total,Beds,2002,531
Sykehuset Telemark HF,Total,Beds,2020,480
Sykehuset Telemark HF,Total,Beds,2021,459
Sykehuset Telemark HF,Total,Out-patient consultations per 1 000 inhabitants,2002,NA
Sykehuset Telemark HF,Total,Out-patient consultations per 1 000 inhabitants,2020,NA
Sykehuset Telemark HF,Total,Out-patient consultations per 1 000 inhabitants,2021,NA
Sykehuset Telemark HF,Total,Day cases per 1 000 inhabitants,2002,NA
Sykehuset Telemark HF,Total,Day cases per 1 000 inhabitants,2020,NA
Sykehuset Telemark HF,Total,Day cases per 1 000 inhabitants,2021,NA
Sykehuset Telemark HF,Somatic health care,Beds,2002,397
Sykehuset Telemark HF,Somatic health care,Beds,2020,346
Sykehuset Telemark HF,Somatic health care,Beds,2021,323
Sykehuset Telemark HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,NA
Sykehuset Telemark HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,NA
Sykehuset Telemark HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,NA
Sykehuset Telemark HF,Somatic health care,Day cases per 1 000 inhabitants,2002,NA
Sykehuset Telemark HF,Somatic health care,Day cases per 1 000 inhabitants,2020,NA
Sykehuset Telemark HF,Somatic health care,Day cases per 1 000 inhabitants,2021,NA
Sykehuset Telemark HF,Drug treatment (TSB),Beds,2002,0
Sykehuset Telemark HF,Drug treatment (TSB),Beds,2020,13
Sykehuset Telemark HF,Drug treatment (TSB),Beds,2021,13
Sykehuset Telemark HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2002,0
Sykehuset Telemark HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2020,NA
Sykehuset Telemark HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2021,NA
Sykehuset Telemark HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2002,0
Sykehuset Telemark HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2020,NA
Sykehuset Telemark HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2021,NA
Psykiatrien i  Vestfold HF (2002-2011),Total,Beds,2002,198
Psykiatrien i  Vestfold HF (2002-2011),Total,Beds,2020,0
Psykiatrien i  Vestfold HF (2002-2011),Total,Beds,2021,0
Psykiatrien i  Vestfold HF (2002-2011),Total,Out-patient consultations per 1 000 inhabitants,2002,NA
Psykiatrien i  Vestfold HF (2002-2011),Total,Out-patient consultations per 1 000 inhabitants,2020,0
Psykiatrien i  Vestfold HF (2002-2011),Total,Out-patient consultations per 1 000 inhabitants,2021,0
Psykiatrien i  Vestfold HF (2002-2011),Total,Day cases per 1 000 inhabitants,2002,NA
Psykiatrien i  Vestfold HF (2002-2011),Total,Day cases per 1 000 inhabitants,2020,0
Psykiatrien i  Vestfold HF (2002-2011),Total,Day cases per 1 000 inhabitants,2021,0
Psykiatrien i  Vestfold HF (2002-2011),Somatic health care,Beds,2002,0
Psykiatrien i  Vestfold HF (2002-2011),Somatic health care,Beds,2020,0
Psykiatrien i  Vestfold HF (2002-2011),Somatic health care,Beds,2021,0
Psykiatrien i  Vestfold HF (2002-2011),Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,0
Psykiatrien i  Vestfold HF (2002-2011),Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,0
Psykiatrien i  Vestfold HF (2002-2011),Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,0
Psykiatrien i  Vestfold HF (2002-2011),Somatic health care,Day cases per 1 000 inhabitants,2002,0
Psykiatrien i  Vestfold HF (2002-2011),Somatic health care,Day cases per 1 000 inhabitants,2020,0
Psykiatrien i  Vestfold HF (2002-2011),Somatic health care,Day cases per 1 000 inhabitants,2021,0
Psykiatrien i  Vestfold HF (2002-2011),Drug treatment (TSB),Beds,2002,0
Psykiatrien i  Vestfold HF (2002-2011),Drug treatment (TSB),Beds,2020,0
Psykiatrien i  Vestfold HF (2002-2011),Drug treatment (TSB),Beds,2021,0
Psykiatrien i  Vestfold HF (2002-2011),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2002,0
Psykiatrien i  Vestfold HF (2002-2011),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2020,0
Psykiatrien i  Vestfold HF (2002-2011),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2021,0
Psykiatrien i  Vestfold HF (2002-2011),Drug treatment (TSB),Day cases per 1 000 inhabitants,2002,0
Psykiatrien i  Vestfold HF (2002-2011),Drug treatment (TSB),Day cases per 1 000 inhabitants,2020,0
Psykiatrien i  Vestfold HF (2002-2011),Drug treatment (TSB),Day cases per 1 000 inhabitants,2021,0
Sunnaas sykehus HF,Total,Beds,2002,124
Sunnaas sykehus HF,Total,Beds,2020,159
Sunnaas sykehus HF,Total,Beds,2021,159
Sunnaas sykehus HF,Total,Out-patient consultations per 1 000 inhabitants,2002,NA
Sunnaas sykehus HF,Total,Out-patient consultations per 1 000 inhabitants,2020,NA
Sunnaas sykehus HF,Total,Out-patient consultations per 1 000 inhabitants,2021,NA
Sunnaas sykehus HF,Total,Day cases per 1 000 inhabitants,2002,NA
Sunnaas sykehus HF,Total,Day cases per 1 000 inhabitants,2020,NA
Sunnaas sykehus HF,Total,Day cases per 1 000 inhabitants,2021,NA
Sunnaas sykehus HF,Somatic health care,Beds,2002,124
Sunnaas sykehus HF,Somatic health care,Beds,2020,159
Sunnaas sykehus HF,Somatic health care,Beds,2021,159
Sunnaas sykehus HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,NA
Sunnaas sykehus HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,NA
Sunnaas sykehus HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,NA
Sunnaas sykehus HF,Somatic health care,Day cases per 1 000 inhabitants,2002,NA
Sunnaas sykehus HF,Somatic health care,Day cases per 1 000 inhabitants,2020,NA
Sunnaas sykehus HF,Somatic health care,Day cases per 1 000 inhabitants,2021,NA
Sunnaas sykehus HF,Drug treatment (TSB),Beds,2002,0
Sunnaas sykehus HF,Drug treatment (TSB),Beds,2020,0
Sunnaas sykehus HF,Drug treatment (TSB),Beds,2021,0
Sunnaas sykehus HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2002,0
Sunnaas sykehus HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2020,0
Sunnaas sykehus HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2021,0
Sunnaas sykehus HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2002,0
Sunnaas sykehus HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2020,0
Sunnaas sykehus HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2021,0
Akershus universitetssykehus HF,Total,Beds,2002,691
Akershus universitetssykehus HF,Total,Beds,2020,1013
Akershus universitetssykehus HF,Total,Beds,2021,1089
Akershus universitetssykehus HF,Total,Out-patient consultations per 1 000 inhabitants,2002,NA
Akershus universitetssykehus HF,Total,Out-patient consultations per 1 000 inhabitants,2020,NA
Akershus universitetssykehus HF,Total,Out-patient consultations per 1 000 inhabitants,2021,NA
Akershus universitetssykehus HF,Total,Day cases per 1 000 inhabitants,2002,NA
Akershus universitetssykehus HF,Total,Day cases per 1 000 inhabitants,2020,NA
Akershus universitetssykehus HF,Total,Day cases per 1 000 inhabitants,2021,NA
Akershus universitetssykehus HF,Somatic health care,Beds,2002,497
Akershus universitetssykehus HF,Somatic health care,Beds,2020,720
Akershus universitetssykehus HF,Somatic health care,Beds,2021,790
Akershus universitetssykehus HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,NA
Akershus universitetssykehus HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,NA
Akershus universitetssykehus HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,NA
Akershus universitetssykehus HF,Somatic health care,Day cases per 1 000 inhabitants,2002,NA
Akershus universitetssykehus HF,Somatic health care,Day cases per 1 000 inhabitants,2020,NA
Akershus universitetssykehus HF,Somatic health care,Day cases per 1 000 inhabitants,2021,NA
Akershus universitetssykehus HF,Drug treatment (TSB),Beds,2002,0
Akershus universitetssykehus HF,Drug treatment (TSB),Beds,2020,60
Akershus universitetssykehus HF,Drug treatment (TSB),Beds,2021,60
Akershus universitetssykehus HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2002,0
Akershus universitetssykehus HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2020,NA
Akershus universitetssykehus HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2021,NA
Akershus universitetssykehus HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2002,0
Akershus universitetssykehus HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2020,NA
Akershus universitetssykehus HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2021,NA
Sørlandet sykehus HF,Total,Beds,2002,580
Sørlandet sykehus HF,Total,Beds,2020,0
Sørlandet sykehus HF,Total,Beds,2021,0
Sørlandet sykehus HF,Total,Out-patient consultations per 1 000 inhabitants,2002,NA
Sørlandet sykehus HF,Total,Out-patient consultations per 1 000 inhabitants,2020,0
Sørlandet sykehus HF,Total,Out-patient consultations per 1 000 inhabitants,2021,0
Sørlandet sykehus HF,Total,Day cases per 1 000 inhabitants,2002,NA
Sørlandet sykehus HF,Total,Day cases per 1 000 inhabitants,2020,0
Sørlandet sykehus HF,Total,Day cases per 1 000 inhabitants,2021,0
Sørlandet sykehus HF,Somatic health care,Beds,2002,375
Sørlandet sykehus HF,Somatic health care,Beds,2020,0
Sørlandet sykehus HF,Somatic health care,Beds,2021,0
Sørlandet sykehus HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,NA
Sørlandet sykehus HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,0
Sørlandet sykehus HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,0
Sørlandet sykehus HF,Somatic health care,Day cases per 1 000 inhabitants,2002,NA
Sørlandet sykehus HF,Somatic health care,Day cases per 1 000 inhabitants,2020,0
Sørlandet sykehus HF,Somatic health care,Day cases per 1 000 inhabitants,2021,0
Sørlandet sykehus HF,Drug treatment (TSB),Beds,2002,0
Sørlandet sykehus HF,Drug treatment (TSB),Beds,2020,0
Sørlandet sykehus HF,Drug treatment (TSB),Beds,2021,0
Sørlandet sykehus HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2002,0
Sørlandet sykehus HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2020,0
Sørlandet sykehus HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2021,0
Sørlandet sykehus HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2002,0
Sørlandet sykehus HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2020,0
Sørlandet sykehus HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2021,0
Sykehuset i Vestfold HF,Total,Beds,2002,420
Sykehuset i Vestfold HF,Total,Beds,2020,470
Sykehuset i Vestfold HF,Total,Beds,2021,484
Sykehuset i Vestfold HF,Total,Out-patient consultations per 1 000 inhabitants,2002,NA
Sykehuset i Vestfold HF,Total,Out-patient consultations per 1 000 inhabitants,2020,NA
Sykehuset i Vestfold HF,Total,Out-patient consultations per 1 000 inhabitants,2021,NA
Sykehuset i Vestfold HF,Total,Day cases per 1 000 inhabitants,2002,NA
Sykehuset i Vestfold HF,Total,Day cases per 1 000 inhabitants,2020,NA
Sykehuset i Vestfold HF,Total,Day cases per 1 000 inhabitants,2021,NA
Sykehuset i Vestfold HF,Somatic health care,Beds,2002,420
Sykehuset i Vestfold HF,Somatic health care,Beds,2020,323
Sykehuset i Vestfold HF,Somatic health care,Beds,2021,337
Sykehuset i Vestfold HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,NA
Sykehuset i Vestfold HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,NA
Sykehuset i Vestfold HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,NA
Sykehuset i Vestfold HF,Somatic health care,Day cases per 1 000 inhabitants,2002,NA
Sykehuset i Vestfold HF,Somatic health care,Day cases per 1 000 inhabitants,2020,NA
Sykehuset i Vestfold HF,Somatic health care,Day cases per 1 000 inhabitants,2021,NA
Sykehuset i Vestfold HF,Drug treatment (TSB),Beds,2002,0
Sykehuset i Vestfold HF,Drug treatment (TSB),Beds,2020,46
Sykehuset i Vestfold HF,Drug treatment (TSB),Beds,2021,46
Sykehuset i Vestfold HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2002,0
Sykehuset i Vestfold HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2020,NA
Sykehuset i Vestfold HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2021,NA
Sykehuset i Vestfold HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2002,0
Sykehuset i Vestfold HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2020,NA
Sykehuset i Vestfold HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2021,NA
Sykehuset Innlandet HF,Total,Beds,2002,770
Sykehuset Innlandet HF,Total,Beds,2020,0
Sykehuset Innlandet HF,Total,Beds,2021,0
Sykehuset Innlandet HF,Total,Out-patient consultations per 1 000 inhabitants,2002,NA
Sykehuset Innlandet HF,Total,Out-patient consultations per 1 000 inhabitants,2020,0
Sykehuset Innlandet HF,Total,Out-patient consultations per 1 000 inhabitants,2021,0
Sykehuset Innlandet HF,Total,Day cases per 1 000 inhabitants,2002,NA
Sykehuset Innlandet HF,Total,Day cases per 1 000 inhabitants,2020,0
Sykehuset Innlandet HF,Total,Day cases per 1 000 inhabitants,2021,0
Sykehuset Innlandet HF,Somatic health care,Beds,2002,518
Sykehuset Innlandet HF,Somatic health care,Beds,2020,0
Sykehuset Innlandet HF,Somatic health care,Beds,2021,0
Sykehuset Innlandet HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,NA
Sykehuset Innlandet HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,0
Sykehuset Innlandet HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,0
Sykehuset Innlandet HF,Somatic health care,Day cases per 1 000 inhabitants,2002,NA
Sykehuset Innlandet HF,Somatic health care,Day cases per 1 000 inhabitants,2020,0
Sykehuset Innlandet HF,Somatic health care,Day cases per 1 000 inhabitants,2021,0
Sykehuset Innlandet HF,Drug treatment (TSB),Beds,2002,0
Sykehuset Innlandet HF,Drug treatment (TSB),Beds,2020,0
Sykehuset Innlandet HF,Drug treatment (TSB),Beds,2021,0
Sykehuset Innlandet HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2002,0
Sykehuset Innlandet HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2020,0
Sykehuset Innlandet HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2021,0
Sykehuset Innlandet HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2002,0
Sykehuset Innlandet HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2020,0
Sykehuset Innlandet HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2021,0
Lister sykehus HF (2002),Total,Beds,2002,73
Lister sykehus HF (2002),Total,Beds,2020,0
Lister sykehus HF (2002),Total,Beds,2021,0
Lister sykehus HF (2002),Total,Out-patient consultations per 1 000 inhabitants,2002,NA
Lister sykehus HF (2002),Total,Out-patient consultations per 1 000 inhabitants,2020,0
Lister sykehus HF (2002),Total,Out-patient consultations per 1 000 inhabitants,2021,0
Lister sykehus HF (2002),Total,Day cases per 1 000 inhabitants,2002,NA
Lister sykehus HF (2002),Total,Day cases per 1 000 inhabitants,2020,0
Lister sykehus HF (2002),Total,Day cases per 1 000 inhabitants,2021,0
Lister sykehus HF (2002),Somatic health care,Beds,2002,73
Lister sykehus HF (2002),Somatic health care,Beds,2020,0
Lister sykehus HF (2002),Somatic health care,Beds,2021,0
Lister sykehus HF (2002),Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,NA
Lister sykehus HF (2002),Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,0
Lister sykehus HF (2002),Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,0
Lister sykehus HF (2002),Somatic health care,Day cases per 1 000 inhabitants,2002,NA
Lister sykehus HF (2002),Somatic health care,Day cases per 1 000 inhabitants,2020,0
Lister sykehus HF (2002),Somatic health care,Day cases per 1 000 inhabitants,2021,0
Lister sykehus HF (2002),Drug treatment (TSB),Beds,2002,0
Lister sykehus HF (2002),Drug treatment (TSB),Beds,2020,0
Lister sykehus HF (2002),Drug treatment (TSB),Beds,2021,0
Lister sykehus HF (2002),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2002,0
Lister sykehus HF (2002),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2020,0
Lister sykehus HF (2002),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2021,0
Lister sykehus HF (2002),Drug treatment (TSB),Day cases per 1 000 inhabitants,2002,0
Lister sykehus HF (2002),Drug treatment (TSB),Day cases per 1 000 inhabitants,2020,0
Lister sykehus HF (2002),Drug treatment (TSB),Day cases per 1 000 inhabitants,2021,0
Sykehuset Østfold HF,Total,Beds,2002,584
Sykehuset Østfold HF,Total,Beds,2020,596
Sykehuset Østfold HF,Total,Beds,2021,586
Sykehuset Østfold HF,Total,Out-patient consultations per 1 000 inhabitants,2002,NA
Sykehuset Østfold HF,Total,Out-patient consultations per 1 000 inhabitants,2020,NA
Sykehuset Østfold HF,Total,Out-patient consultations per 1 000 inhabitants,2021,NA
Sykehuset Østfold HF,Total,Day cases per 1 000 inhabitants,2002,NA
Sykehuset Østfold HF,Total,Day cases per 1 000 inhabitants,2020,NA
Sykehuset Østfold HF,Total,Day cases per 1 000 inhabitants,2021,NA
Sykehuset Østfold HF,Somatic health care,Beds,2002,584
Sykehuset Østfold HF,Somatic health care,Beds,2020,376
Sykehuset Østfold HF,Somatic health care,Beds,2021,373
Sykehuset Østfold HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,NA
Sykehuset Østfold HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,NA
Sykehuset Østfold HF,Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,NA
Sykehuset Østfold HF,Somatic health care,Day cases per 1 000 inhabitants,2002,NA
Sykehuset Østfold HF,Somatic health care,Day cases per 1 000 inhabitants,2020,NA
Sykehuset Østfold HF,Somatic health care,Day cases per 1 000 inhabitants,2021,NA
Sykehuset Østfold HF,Drug treatment (TSB),Beds,2002,0
Sykehuset Østfold HF,Drug treatment (TSB),Beds,2020,33
Sykehuset Østfold HF,Drug treatment (TSB),Beds,2021,34
Sykehuset Østfold HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2002,0
Sykehuset Østfold HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2020,NA
Sykehuset Østfold HF,Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2021,NA
Sykehuset Østfold HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2002,0
Sykehuset Østfold HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2020,NA
Sykehuset Østfold HF,Drug treatment (TSB),Day cases per 1 000 inhabitants,2021,NA
Rikshospitalet HF (2005-2008),Total,Beds,2002,0
Rikshospitalet HF (2005-2008),Total,Beds,2020,0
Rikshospitalet HF (2005-2008),Total,Beds,2021,0
Rikshospitalet HF (2005-2008),Total,Out-patient consultations per 1 000 inhabitants,2002,0
Rikshospitalet HF (2005-2008),Total,Out-patient consultations per 1 000 inhabitants,2020,0
Rikshospitalet HF (2005-2008),Total,Out-patient consultations per 1 000 inhabitants,2021,0
Rikshospitalet HF (2005-2008),Total,Day cases per 1 000 inhabitants,2002,0
Rikshospitalet HF (2005-2008),Total,Day cases per 1 000 inhabitants,2020,0
Rikshospitalet HF (2005-2008),Total,Day cases per 1 000 inhabitants,2021,0
Rikshospitalet HF (2005-2008),Somatic health care,Beds,2002,0
Rikshospitalet HF (2005-2008),Somatic health care,Beds,2020,0
Rikshospitalet HF (2005-2008),Somatic health care,Beds,2021,0
Rikshospitalet HF (2005-2008),Somatic health care,Out-patient consultations per 1 000 inhabitants,2002,0
Rikshospitalet HF (2005-2008),Somatic health care,Out-patient consultations per 1 000 inhabitants,2020,0
Rikshospitalet HF (2005-2008),Somatic health care,Out-patient consultations per 1 000 inhabitants,2021,0
Rikshospitalet HF (2005-2008),Somatic health care,Day cases per 1 000 inhabitants,2002,0
Rikshospitalet HF (2005-2008),Somatic health care,Day cases per 1 000 inhabitants,2020,0
Rikshospitalet HF (2005-2008),Somatic health care,Day cases per 1 000 inhabitants,2021,0
Rikshospitalet HF (2005-2008),Drug treatment (TSB),Beds,2002,0
Rikshospitalet HF (2005-2008),Drug treatment (TSB),Beds,2020,0
Rikshospitalet HF (2005-2008),Drug treatment (TSB),Beds,2021,0
Rikshospitalet HF (2005-2008),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2002,0
Rikshospitalet HF (2005-2008),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2020,0
Rikshospitalet HF (2005-2008),Drug treatment (TSB),Out-patient consultations per 1 000 inhabitants,2021,0
Rikshospitalet HF (2005-2008),Drug treatment (TSB),Day cases per 1 000 inhabitants,2002,0
Rikshospitalet HF (2005-2008),Drug treatment (TSB),Day cases per 1 000 inhabitants,2020,0
Rikshospitalet HF (2005-2008),Drug treatment (TSB),Day cases per 1 000 inhabitants,2021,0
Spesialsykehuset for epilepsi HF (2002),Total,Beds,2002,87
Spesialsykehuset for epilepsi HF (2002),Total,Beds,2020,0
Spesialsykehuset for epilepsi HF (2002),Total,Beds,2021,0
Spesialsykehuset for epilepsi HF (2002),Total,Out-patient consultations per 1 000 inhabitants,2002,NA
Spesialsykehuset for epilepsi HF (2002),Total,Out-patient consultations per 1 000 inhabitants,2020,0
Spesialsykehuset for epilepsi HF (2002),Total,Out-patient consultations per 1 000 inhabitants,2021,0
Spesialsykehuset for epilepsi HF (2002),Total,Day cases per 1 000 inhabitants,2002,NA
Spesialsykehuset for epilepsi HF (2002),Total,Day cases per 1 000 inhabitants,2020,0
Spesialsykehuset for epilepsi HF (2002),Total,Day cases per 1 000 inhabitants,2021,0
